Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),6516760000000.0,28560900000000.0,0.0,7232920000000.0,21149600000000.0,34287700000000.0
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),136070000000000.0,0.0,0.0,0.0,65124000000000.0,12948100000000.0
petroleum diesel (BTU),18609400000000.0,0.0,0.0,0.0,1545120000000.0,1369440000000.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),6208370000000.0,0.0,0.0,0.0,0.0,0.0
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),2229470000000.0,0.0,0.0,0.0,814158000000.0,184317000000.0
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0
